time,0.97,1.21,1.46,1.86,2.78,3
0.983,-11.92,-12.17,-12.1,-11.9,-10.91,-11.28
1.966,-11.57,-11.61,-11.26,-11.01,-10.43,-10.56
2.95,-11.5,-11.05,-10.7,-10.47,-10.15,-10.19
3.575,-11.21,-10.63,-10.32,-10.1,-10,-10
4.916,-10.88,-10.25,-9.997,-9.807,-9.898,-9.901
5.899,-10.59,-9.997,-9.693,-9.579,-9.854,-9.872
6.972,-10.39,-9.763,-9.428,-9.455,-9.832,-9.882
7.866,-10.14,-9.529,-9.295,-9.269,-9.81,-9.872
8.849,-9.987,-9.389,-9.178,-9.207,-9.832,-9.941
9.654,-9.755,-9.225,-9.015,-9.083,-9.825,-9.941
10.82,-9.6,-9.061,-8.898,-9.041,-9.847,-9.951
11.71,-9.455,-8.968,-8.827,-8.979,-9.861,-9.99
12.78,-9.29,-8.851,-8.757,-8.938,-9.876,-10.02
13.68,-9.155,-8.734,-8.687,-8.876,-9.876,-10.03
14.75,-9.077,-8.64,-8.594,-8.834,-9.883,-10.05
